"Source","Target","Weight"
"ab","ady",1
"ab","af",1
"ab","als",1
"ab","an",1
"ab","ang",1
"ab","ar",2
"ab","ary",1
"ab","arz",2
"ab","as",2
"ab","ast",1
"ab","av",1
"ab","az",1
"ab","azb",2
"ab","ba",1
"ab","bar",1
"ab","bat-smg",1
"ab","be",2
"ab","be-tarask",1
"ab","bg",2
"ab","bh",2
"ab","bn",2
"ab","bo",1
"ab","bpy",1
"ab","bs",1
"ab","bxr",1
"ab","ca",2
"ab","ce",1
"ab","ceb",2
"ab","ckb",2
"ab","cs",2
"ab","cv",1
"ab","cy",1
"ab","da",2
"ab","de",2
"ab","diq",1
"ab","dty",1
"ab","dv",1
"ab","el",2
"ab","eml",1
"ab","en",2
"ab","eo",2
"ab","es",2
"ab","et",2
"ab","eu",1
"ab","fa",2
"ab","fi",1
"ab","fo",2
"ab","fr",2
"ab","ga",1
"ab","gan",1
"ab","gl",2
"ab","got",1
"ab","gu",1
"ab","hak",1
"ab","haw",1
"ab","he",2
"ab","hi",2
"ab","hr",2
"ab","hu",1
"ab","hy",2
"ab","ia",1
"ab","id",2
"ab","ig",1
"ab","inh",2
"ab","io",1
"ab","is",1
"ab","it",2
"ab","ja",2
"ab","jv",1
"ab","ka",2
"ab","kbd",1
"ab","kbp",1
"ab","kk",2
"ab","km",1
"ab","kn",1
"ab","ko",2
"ab","koi",1
"ab","ks",1
"ab","ksh",1
"ab","ku",1
"ab","la",2
"ab","lad",1
"ab","lb",2
"ab","lbe",1
"ab","lij",1
"ab","lmo",1
"ab","lt",2
"ab","lv",2
"ab","mai",1
"ab","mi",1
"ab","min",1
"ab","mk",2
"ab","ml",2
"ab","mn",1
"ab","mnw",1
"ab","mr",1
"ab","ms",2
"ab","mt",2
"ab","mwl",1
"ab","my",2
"ab","na",1
"ab","nds",2
"ab","nds-nl",1
"ab","ne",2
"ab","nl",2
"ab","nn",1
"ab","no",1
"ab","oc",1
"ab","or",2
"ab","pa",1
"ab","pfl",1
"ab","pl",2
"ab","ps",1
"ab","pt",2
"ab","qu",2
"ab","rmy",1
"ab","ro",2
"ab","ru",2
"ab","rue",1
"ab","sa",2
"ab","sah",1
"ab","sat",1
"ab","sc",1
"ab","scn",1
"ab","sco",1
"ab","sd",2
"ab","sg",1
"ab","sh",2
"ab","shn",2
"ab","si",1
"ab","sk",2
"ab","sl",2
"ab","so",1
"ab","sq",2
"ab","sr",2
"ab","st",1
"ab","sv",2
"ab","szl",1
"ab","szy",1
"ab","ta",2
"ab","tay",1
"ab","te",1
"ab","tg",2
"ab","th",2
"ab","ti",1
"ab","tl",2
"ab","tr",2
"ab","trv",1
"ab","tt",2
"ab","tw",1
"ab","tyv",1
"ab","udm",1
"ab","uk",2
"ab","ur",2
"ab","uz",2
"ab","vec",2
"ab","vi",2
"ab","war",1
"ab","wuu",2
"ab","xal",1
"ab","xh",1
"ab","xmf",1
"ab","yi",2
"ab","yo",1
"ab","zh",2
"ab","zh-classical",1
"ab","zh-yue",2
"ab","zu",1
"ace","af",1
"ace","ar",1
"ace","arz",1
"ace","as",1
"ace","az",1
"ace","azb",1
"ace","ba",1
"ace","be",1
"ace","be-tarask",1
"ace","bh",1
"ace","bn",1
"ace","br",1
"ace","ca",1
"ace","ckb",1
"ace","cs",1
"ace","cv",1
"ace","de",1
"ace","el",1
"ace","en",1
"ace","eo",1
"ace","es",1
"ace","fa",1
"ace","fi",1
"ace","fr",1
"ace","gl",1
"ace","gom",1
"ace","hak",1
"ace","hr",1
"ace","id",1
"ace","ig",1
"ace","it",1
"ace","ja",1
"ace","ka",1
"ace","kk",1
"ace","km",1
"ace","kn",1
"ace","ko",1
"ace","ks",1
"ace","la",1
"ace","lb",1
"ace","lv",1
"ace","mai",1
"ace","mdf",1
"ace","mk",1
"ace","ml",1
"ace","ms",1
"ace","my",1
"ace","nds",1
"ace","ne",1
"ace","nl",1
"ace","oc",1
"ace","pap",1
"ace","pl",1
"ace","pt",1
"ace","ro",1
"ace","ru",1
"ace","rue",1
"ace","sah",1
"ace","sco",1
"ace","sd",1
"ace","sh",1
"ace","shn",1
"ace","si",1
"ace","simple",1
"ace","sk",1
"ace","sl",1
"ace","smn",1
"ace","sr",1
"ace","sv",1
"ace","szl",1
"ace","ta",1
"ace","te",1
"ace","tg",1
"ace","th",1
"ace","tl",1
"ace","tr",1
"ace","ts",1
"ace","tt",1
"ace","uk",1
"ace","ur",1
"ace","uz",1
"ace","vec",1
"ace","vi",1
"ace","yo",1
"ace","zh",1
"ace","zh-classical",1
"ace","zh-yue",1
"ady","af",1
"ady","ak",1
"ady","an",1
"ady","ang",1
"ady","ar",2
"ady","ary",1
"ady","arz",2
"ady","as",1
"ady","av",2
"ady","az",1
"ady","azb",2
"ady","ba",1
"ady","bar",1
"ady","bat-smg",1
"ady","be",2
"ady","be-tarask",1
"ady","bg",2
"ady","bh",2
"ady","bn",2
"ady","bo",1
"ady","bpy",1
"ady","br",1
"ady","bs",2
"ady","bxr",1
"ady","ca",2
"ady","cdo",1
"ady","ce",2
"ady","ceb",2
"ady","ckb",2
"ady","cs",2
"ady","cv",1
"ady","da",2
"ady","de",2
"ady","dsb",1
"ady","dty",1
"ady","dv",1
"ady","el",2
"ady","eml",1
"ady","en",2
"ady","eo",2
"ady","es",2
"ady","et",1
"ady","eu",1
"ady","fa",2
"ady","fi",1
"ady","fo",1
"ady","fr",2
"ady","fy",1
"ady","ga",1
"ady","gan",1
"ady","gl",2
"ady","gom",1
"ady","got",1
"ady","gu",1
"ady","gv",1
"ady","hak",1
"ady","haw",1
"ady","he",2
"ady","hi",2
"ady","hr",2
"ady","hsb",1
"ady","ht",1
"ady","hu",1
"ady","hy",2
"ady","ia",1
"ady","id",2
"ady","ig",1
"ady","inh",1
"ady","io",1
"ady","it",2
"ady","ja",2
"ady","ka",1
"ady","kbd",1
"ady","kbp",1
"ady","kk",1
"ady","km",1
"ady","kn",2
"ady","ko",2
"ady","koi",1
"ady","ks",1
"ady","ksh",1
"ady","ku",1
"ady","la",1
"ady","lad",1
"ady","lb",2
"ady","lbe",1
"ady","lez",1
"ady","li",1
"ady","lij",1
"ady","lmo",1
"ady","lt",1
"ady","lv",1
"ady","mai",1
"ady","mi",1
"ady","mk",2
"ady","ml",2
"ady","mn",1
"ady","mnw",1
"ady","mr",2
"ady","ms",2
"ady","mt",1
"ady","mwl",2
"ady","my",2
"ady","mzn",1
"ady","na",2
"ady","nds",2
"ady","nds-nl",2
"ady","ne",2
"ady","nl",2
"ady","no",1
"ady","oc",2
"ady","or",1
"ady","pa",1
"ady","pfl",2
"ady","pl",2
"ady","ps",1
"ady","pt",2
"ady","qu",1
"ady","rmy",1
"ady","ro",2
"ady","ru",2
"ady","rue",1
"ady","sa",1
"ady","sat",1
"ady","sc",1
"ady","sco",2
"ady","sd",2
"ady","sg",1
"ady","sh",2
"ady","shn",1
"ady","si",1
"ady","simple",1
"ady","sk",2
"ady","sl",2
"ady","so",1
"ady","sq",2
"ady","sr",2
"ady","st",1
"ady","sv",2
"ady","sw",1
"ady","szl",2
"ady","szy",1
"ady","ta",2
"ady","tay",1
"ady","te",2
"ady","tg",2
"ady","th",2
"ady","ti",1
"ady","tl",1
"ady","tr",2
"ady","trv",1
"ady","tt",2
"ady","tw",1
"ady","tyv",1
"ady","udm",1
"ady","uk",2
"ady","ur",2
"ady","uz",2
"ady","vec",2
"ady","vi",2
"ady","vls",1
"ady","wa",1
"ady","war",1
"ady","wuu",2
"ady","xh",1
"ady","xmf",1
"ady","yi",2
"ady","yo",1
"ady","zh",2
"ady","zh-classical",2
"ady","zh-yue",2
"ady","zu",1
"af","ak",1
"af","als",8
"af","am",5
"af","an",5
"af","ang",5
"af","ar",24
"af","arc",1
"af","ary",7
"af","arz",22
"af","as",19
"af","ast",6
"af","av",3
"af","awa",1
"af","az",19
"af","azb",21
"af","ba",17
"af","bar",8
"af","bat-smg",1
"af","be",21
"af","be-tarask",22
"af","bg",22
"af","bh",13
"af","bjn",3
"af","bn",24
"af","br",9
"af","bs",15
"af","bxr",2
"af","ca",23
"af","cbk-zam",1
"af","cdo",2
"af","ce",10
"af","ceb",8
"af","chr",3
"af","ckb",22
"af","co",2
"af","cs",24
"af","csb",3
"af","cv",7
"af","cy",11
"af","da",19
"af","de",21
"af","diq",5
"af","dsb",2
"af","dv",1
"af","el",22
"af","en",24
"af","eo",22
"af","es",23
"af","et",12
"af","eu",9
"af","fa",24
"af","fi",19
"af","fiu-vro",1
"af","fo",5
"af","fr",24
"af","frr",1
"af","fur",2
"af","fy",4
"af","ga",5
"af","gan",2
"af","gl",22
"af","glk",5
"af","gn",2
"af","gom",2
"af","gor",1
"af","gu",11
"af","gv",3
"af","ha",2
"af","hak",1
"af","haw",2
"af","he",16
"af","hi",16
"af","hr",21
"af","hsb",7
"af","ht",2
"af","hu",23
"af","hy",19
"af","hyw",2
"af","ia",10
"af","id",23
"af","ig",2
"af","ilo",11
"af","inh",3
"af","io",2
"af","is",15
"af","it",22
"af","iu",1
"af","ja",23
"af","jbo",2
"af","jv",16
"af","ka",18
"af","kk",15
"af","kl",2
"af","km",9
"af","kn",9
"af","ko",22
"af","ks",6
"af","ksh",4
"af","ku",8
"af","kw",1
"af","ky",1
"af","la",10
"af","lad",3
"af","lb",11
"af","lbe",1
"af","lez",1
"af","lg",1
"af","li",4
"af","lmo",2
"af","ln",1
"af","lo",2
"af","lt",19
"af","ltg",2
"af","lv",10
"af","mad",2
"af","mai",2
"af","map-bms",3
"af","mdf",2
"af","mg",2
"af","mi",1
"af","min",15
"af","mk",20
"af","ml",20
"af","mn",6
"af","mni",1
"af","mr",9
"af","ms",24
"af","mt",4
"af","mwl",4
"af","my",15
"af","myv",1
"af","mzn",6
"af","na",2
"af","nah",1
"af","nap",5
"af","nds",8
"af","nds-nl",4
"af","ne",17
"af","new",1
"af","nia",1
"af","nl",22
"af","nn",9
"af","no",21
"af","nrm",2
"af","oc",10
"af","om",1
"af","or",12
"af","os",2
"af","pa",5
"af","pap",1
"af","pfl",1
"af","pl",21
"af","pms",2
"af","pnt",1
"af","ps",2
"af","pt",24
"af","qu",3
"af","rmy",2
"af","ro",23
"af","roa-rup",1
"af","roa-tara",1
"af","ru",22
"af","rue",6
"af","sa",3
"af","sah",10
"af","sat",1
"af","sc",2
"af","scn",10
"af","sco",12
"af","sd",17
"af","se",4
"af","sg",1
"af","sh",19
"af","shi",1
"af","shn",10
"af","si",20
"af","simple",21
"af","sk",22
"af","sl",21
"af","smn",2
"af","so",5
"af","sq",15
"af","sr",23
"af","stq",2
"af","su",8
"af","sv",21
"af","sw",5
"af","szl",7
"af","ta",19
"af","te",19
"af","tg",17
"af","th",23
"af","tk",6
"af","tl",12
"af","tr",22
"af","ts",1
"af","tt",17
"af","udm",1
"af","uk",22
"af","ur",23
"af","uz",15
"af","vec",10
"af","vep",1
"af","vi",22
"af","vls",2
"af","vo",2
"af","wa",3
"af","war",1
"af","wuu",5
"af","xal",1
"af","xmf",1
"af","yi",19
"af","yo",4
"af","zea",1
"af","zh",23
"af","zh-classical",6
"af","zh-min-nan",6
"af","zh-yue",21
"ak","ar",1
"ak","arz",1
"ak","av",1
"ak","az",1
"ak","azb",1
"ak","ba",1
"ak","bar",1
"ak","be",1
"ak","be-tarask",1
"ak","bg",1
"ak","bh",1
"ak","bn",1
"ak","br",1
"ak","bs",1
"ak","ca",1
"ak","cdo",1
"ak","ce",1
"ak","ceb",1
"ak","ckb",1
"ak","cs",1
"ak","cv",1
"ak","da",1
"ak","de",1
"ak","dsb",1
"ak","el",1
"ak","en",1
"ak","eo",1
"ak","es",1
"ak","fa",1
"ak","fi",1
"ak","fr",1
"ak","fy",1
"ak","gl",1
"ak","gom",1
"ak","gv",1
"ak","he",1
"ak","hi",1
"ak","hr",1
"ak","hsb",1
"ak","ht",1
"ak","hu",1
"ak","hy",1
"ak","ia",1
"ak","id",1
"ak","it",1
"ak","ja",1
"ak","kn",1
"ak","ko",1
"ak","lb",1
"ak","lez",1
"ak","li",1
"ak","mk",1
"ak","ml",1
"ak","mr",1
"ak","ms",1
"ak","mwl",1
"ak","my",1
"ak","mzn",1
"ak","na",1
"ak","nds",1
"ak","nds-nl",1
"ak","ne",1
"ak","nl",1
"ak","no",1
"ak","oc",1
"ak","pfl",1
"ak","pl",1
"ak","pt",1
"ak","ro",1
"ak","ru",1
"ak","rue",1
"ak","sco",1
"ak","sd",1
"ak","sh",1
"ak","si",1
"ak","simple",1
"ak","sk",1
"ak","sl",1
"ak","sq",1
"ak","sr",1
"ak","sv",1
"ak","sw",1
"ak","szl",1
"ak","ta",1
"ak","te",1
"ak","tg",1
"ak","th",1
"ak","tr",1
"ak","tt",1
"ak","uk",1
"ak","ur",1
"ak","uz",1
"ak","vec",1
"ak","vi",1
"ak","vls",1
"ak","wa",1
"ak","wuu",1
"ak","yi",1
"ak","zh",1
"ak","zh-classical",1
"ak","zh-yue",1
"als","ang",3
"als","ar",14
"als","ary",3
"als","arz",12
"als","as",11
"als","ast",5
"als","av",1
"als","az",12
"als","azb",12
"als","ba",10
"als","bar",9
"als","bat-smg",1
"als","be",11
"als","be-tarask",12
"als","bg",12
"als","bh",6
"als","bjn",3
"als","bn",13
"als","br",4
"als","bs",7
"als","bxr",2
"als","ca",12
"als","cbk-zam",1
"als","ce",5
"als","ceb",4
"als","chr",2
"als","ckb",12
"als","co",1
"als","cs",15
"als","csb",2
"als","cv",1
"als","cy",5
"als","da",12
"als","de",15
"als","diq",3
"als","dsb",1
"als","el",10
"als","en",14
"als","eo",11
"als","es",14
"als","et",5
"als","eu",5
"als","ext",1
"als","fa",13
"als","fi",12
"als","fo",3
"als","fr",14
"als","frr",1
"als","fur",2
"als","fy",2
"als","ga",2
"als","gan",2
"als","gl",13
"als","glk",1
"als","gn",2
"als","gor",1
"als","gu",5
"als","gv",2
"als","haw",1
"als","he",12
"als","hi",10
"als","hr",13
"als","hsb",2
"als","hu",14
"als","hy",12
"als","hyw",2
"als","ia",7
"als","id",11
"als","ilo",5
"als","inh",2
"als","io",1
"als","is",7
"als","it",13
"als","iu",1
"als","ja",13
"als","jbo",1
"als","jv",10
"als","ka",8
"als","kk",8
"als","kl",2
"als","km",4
"als","kn",2
"als","ko",12
"als","ks",1
"als","ksh",3
"als","ku",6
"als","kw",2
"als","la",5
"als","lad",3
"als","lb",5
"als","lbe",1
"als","lfn",1
"als","lg",1
"als","li",2
"als","lij",1
"als","lmo",1
"als","lt",10
"als","ltg",1
"als","lv",4
"als","mad",2
"als","map-bms",2
"als","mg",2
"als","min",6
"als","mk",12
"als","ml",10
"als","mn",2
"als","mr",5
"als","ms",13
"als","mt",5
"als","mwl",2
"als","my",5
"als","mzn",1
"als","na",1
"als","nap",3
"als","nds",6
"als","nds-nl",3
"als","ne",7
"als","nl",12
"als","nn",5
"als","no",10
"als","nrm",1
"als","oc",5
"als","om",1
"als","or",3
"als","os",1
"als","pa",2
"als","pl",13
"als","pms",1
"als","pnt",1
"als","ps",1
"als","pt",15
"als","qu",2
"als","rmy",1
"als","ro",13
"als","roa-rup",1
"als","roa-tara",1
"als","ru",13
"als","rue",4
"als","sa",1
"als","sah",5
"als","sat",2
"als","sc",1
"als","scn",6
"als","sco",8
"als","sd",6
"als","se",3
"als","sh",11
"als","shn",4
"als","si",10
"als","simple",11
"als","sk",12
"als","sl",11
"als","smn",1
"als","so",2
"als","sq",6
"als","sr",13
"als","stq",1
"als","su",4
"als","sv",13
"als","sw",1
"als","szl",2
"als","ta",9
"als","te",10
"als","tg",7
"als","th",11
"als","tk",2
"als","tl",6
"als","tr",12
"als","tt",11
"als","uk",11
"als","ur",12
"als","uz",9
"als","vec",8
"als","vep",1
"als","vi",13
"als","vls",1
"als","vo",1
"als","wa",1
"als","war",1
"als","wuu",3
"als","xal",1
"als","yi",10
"als","yo",3
"als","zh",14
"als","zh-classical",1
"als","zh-min-nan",1
"als","zh-yue",9
"am","an",3
"am","ang",1
"am","ar",5
"am","arc",1
"am","ary",2
"am","arz",5
"am","as",5
"am","ast",1
"am","av",1
"am","awa",1
"am","az",4
"am","azb",5
"am","ba",4
"am","be",5
"am","be-tarask",5
"am","bg",5
"am","bh",2
"am","bjn",1
"am","bn",5
"am","br",3
"am","bs",4
"am","ca",5
"am","cdo",1
"am","ce",2
"am","ceb",1
"am","chr",1
"am","ckb",5
"am","co",1
"am","cs",5
"am","csb",1
"am","cv",2
"am","cy",3
"am","da",4
"am","de",5
"am","diq",2
"am","el",5
"am","en",5
"am","eo",4
"am","es",4
"am","et",4
"am","eu",3
"am","fa",5
"am","fi",4
"am","fiu-vro",1
"am","fo",1
"am","fr",5
"am","fur",1
"am","fy",2
"am","ga",3
"am","gl",4
"am","glk",2
"am","gu",3
"am","ha",1
"am","haw",1
"am","he",5
"am","hi",3
"am","hr",5
"am","hsb",2
"am","hu",5
"am","hy",4
"am","ia",2
"am","id",5
"am","ig",1
"am","ilo",1
"am","is",4
"am","it",5
"am","ja",5
"am","jbo",1
"am","jv",4
"am","ka",5
"am","kk",3
"am","kl",1
"am","km",2
"am","kn",2
"am","ko",5
"am","ks",3
"am","ku",2
"am","ky",1
"am","la",2
"am","lb",3
"am","ln",1
"am","lo",2
"am","lt",4
"am","ltg",1
"am","lv",3
"am","mai",1
"am","map-bms",1
"am","mg",1
"am","mi",1
"am","min",5
"am","mk",5
"am","ml",5
"am","mn",3
"am","mr",4
"am","ms",5
"am","mt",1
"am","my",3
"am","myv",1
"am","mzn",2
"am","nah",1
"am","nap",2
"am","nds",1
"am","ne",4
"am","new",1
"am","nl",5
"am","nn",3
"am","no",4
"am","oc",4
"am","or",5
"am","os",1
"am","pa",1
"am","pl",5
"am","ps",1
"am","pt",5
"am","qu",1
"am","rmy",1
"am","ro",5
"am","ru",5
"am","sa",1
"am","sah",3
"am","scn",3
"am","sco",2
"am","sd",4
"am","se",1
"am","sh",4
"am","shi",1
"am","shn",1
"am","si",5
"am","simple",5
"am","sk",5
"am","sl",4
"am","so",1
"am","sq",4
"am","sr",5
"am","su",2
"am","sv",5
"am","sw",2
"am","szl",2
"am","ta",4
"am","te",5
"am","tg",4
"am","th",5
"am","tk",3
"am","tl",3
"am","tr",5
"am","tt",4
"am","uk",5
"am","ur",5
"am","uz",3
"am","vec",3
"am","vi",5
"am","wuu",1
"am","yi",4
"am","zh",5
"am","zh-classical",2
"am","zh-min-nan",2
"am","zh-yue",5
"an","ang",3
"an","ar",8
"an","arc",1
"an","ary",3
"an","arz",7
"an","as",7
"an","ast",3
"an","av",2
"an","awa",1
"an","az",7
"an","azb",8
"an","ba",5
"an","bar",1
"an","bat-smg",1
"an","be",6
"an","be-tarask",6
"an","bg",7
"an","bh",4
"an","bjn",1
"an","bn",7
"an","bo",1
"an","bpy",1
"an","br",3
"an","bs",7
"an","bxr",1
"an","ca",8
"an","cbk-zam",1
"an","ce",3
"an","ceb",5
"an","chr",1
"an","ckb",7
"an","co",1
"an","cs",8
"an","csb",1
"an","cv",1
"an","cy",5
"an","da",7
"an","de",7
"an","diq",3
"an","dsb",1
"an","dty",1
"an","dv",2
"an","el",8
"an","eml",1
"an","en",8
"an","eo",8
"an","es",8
"an","et",7
"an","eu",6
"an","fa",8
"an","fi",7
"an","fiu-vro",1
"an","fo",3
"an","fr",7
"an","fur",1
"an","fy",2
"an","ga",3
"an","gan",1
"an","gl",8
"an","glk",2
"an","got",1
"an","gu",5
"an","gv",1
"an","ha",1
"an","hak",1
"an","haw",2
"an","he",8
"an","hi",8
"an","hr",8
"an","hsb",3
"an","hu",6
"an","hy",8
"an","ia",4
"an","id",8
"an","ig",2
"an","ilo",2
"an","inh",3
"an","io",2
"an","is",4
"an","it",8
"an","ja",8
"an","jbo",1
"an","jv",6
"an","ka",8
"an","kbd",1
"an","kbp",1
"an","kk",6
"an","kl",1
"an","km",5
"an","kn",3
"an","ko",8
"an","koi",1
"an","ks",4
"an","ksh",3
"an","ku",3
"an","la",4
"an","lad",2
"an","lb",6
"an","lbe",1
"an","lg",1
"an","li",1
"an","lij",1
"an","lmo",2
"an","ln",1
"an","lo",2
"an","lt",7
"an","ltg",1
"an","lv",5
"an","mai",1
"an","map-bms",2
"an","mdf",1
"an","mg",1
"an","mi",2
"an","min",4
"an","mk",7
"an","ml",7
"an","mn",4
"an","mni",1
"an","mnw",1
"an","mr",5
"an","ms",8
"an","mt",3
"an","mwl",3
"an","my",4
"an","mzn",3
"an","na",1
"an","nah",3
"an","nap",1
"an","nds",4
"an","nds-nl",1
"an","ne",7
"an","new",1
"an","nl",8
"an","nn",3
"an","no",7
"an","nrm",1
"an","oc",6
"an","or",5
"an","os",1
"an","pa",3
"an","pfl",1
"an","pl",8
"an","pms",1
"an","ps",1
"an","pt",8
"an","qu",2
"an","rmy",3
"an","ro",8
"an","ru",8
"an","rue",1
"an","sa",3
"an","sah",3
"an","sat",1
"an","sc",2
"an","scn",3
"an","sco",5
"an","sd",7
"an","sg",2
"an","sh",7
"an","shi",1
"an","shn",2
"an","si",7
"an","simple",6
"an","sk",8
"an","sl",7
"an","so",4
"an","sq",4
"an","sr",8
"an","st",1
"an","stq",1
"an","su",4
"an","sv",6
"an","sw",2
"an","szl",3
"an","szy",1
"an","ta",8
"an","tay",1
"an","te",6
"an","tg",5
"an","th",8
"an","ti",1
"an","tk",3
"an","tl",4
"an","tr",8
"an","trv",1
"an","tt",6
"an","tw",1
"an","tyv",1
"an","udm",2
"an","uk",7
"an","ur",7
"an","uz",5
"an","vec",5
"an","vi",8
"an","vo",1
"an","wa",1
"an","war",1
"an","wuu",2
"an","xh",1
"an","xmf",2
"an","yi",8
"an","yo",1
"an","zea",1
"an","zh",8
"an","zh-classical",3
"an","zh-min-nan",4
"an","zh-yue",7
"an","zu",1
"ang","ar",6
"ang","arc",1
"ang","ary",3
"ang","arz",6
"ang","as",6
"ang","ast",2
"ang","av",2
"ang","awa",1
"ang","az",5
"ang","azb",6
"ang","ba",3
"ang","bar",1
"ang","bat-smg",2
"ang","be",5
"ang","be-tarask",5
"ang","bg",6
"ang","bh",3
"ang","bjn",3
"ang","bn",6
"ang","bo",1
"ang","bpy",1
"ang","br",1
"ang","bs",6
"ang","bxr",3
"ang","ca",6
"ang","cbk-zam",1
"ang","ce",3
"ang","ceb",5
"ang","chr",2
"ang","ckb",6
"ang","co",1
"ang","cs",6
"ang","csb",2
"ang","cv",1
"ang","cy",4
"ang","da",6
"ang","de",6
"ang","diq",2
"ang","dsb",1
"ang","dty",1
"ang","dv",2
"ang","el",6
"ang","eml",1
"ang","en",6
"ang","eo",6
"ang","es",6
"ang","et",5
"ang","eu",5
"ang","fa",6
"ang","fi",5
"ang","fo",5
"ang","fr",6
"ang","frr",1
"ang","fur",2
"ang","fy",1
"ang","ga",3
"ang","gan",2
"ang","gl",6
"ang","glk",1
"ang","gn",2
"ang","gor",1
"ang","got",1
"ang","gu",3
"ang","gv",1
"ang","hak",1
"ang","haw",3
"ang","he",6
"ang","hi",5
"ang","hr",6
"ang","hsb",2
"ang","hu",5
"ang","hy",6
"ang","hyw",1
"ang","ia",3
"ang","id",6
"ang","ig",1
"ang","ilo",3
"ang","inh",1
"ang","io",2
"ang","is",4
"ang","it",6
"ang","iu",1
"ang","ja",6
"ang","jbo",2
"ang","jv",5
"ang","ka",5
"ang","kbd",1
"ang","kbp",1
"ang","kk",5
"ang","kl",1
"ang","km",6
"ang","kn",2
"ang","ko",6
"ang","koi",1
"ang","ks",4
"ang","ksh",3
"ang","ku",5
"ang","kw",1
"ang","la",4
"ang","lad",3
"ang","lb",5
"ang","lbe",2
"ang","lg",1
"ang","li",1
"ang","lij",1
"ang","lmo",2
"ang","lo",1
"ang","lt",5
"ang","ltg",2
"ang","lv",5
"ang","mad",1
"ang","mai",1
"ang","mg",1
"ang","mi",2
"ang","min",3
"ang","mk",6
"ang","ml",4
"ang","mn",5
"ang","mnw",1
"ang","mr",4
"ang","ms",6
"ang","mt",4
"ang","mwl",2
"ang","my",5
"ang","na",2
"ang","nah",1
"ang","nap",2
"ang","nds",3
"ang","nds-nl",2
"ang","ne",6
"ang","new",1
"ang","nl",6
"ang","nn",4
"ang","no",5
"ang","nrm",1
"ang","oc",5
"ang","om",1
"ang","or",4
"ang","os",2
"ang","pa",3
"ang","pfl",1
"ang","pl",6
"ang","pnt",1
"ang","ps",1
"ang","pt",6
"ang","qu",2
"ang","rmy",1
"ang","ro",6
"ang","roa-rup",1
"ang","roa-tara",1
"ang","ru",6
"ang","rue",2
"ang","sa",1
"ang","sah",3
"ang","sat",2
"ang","sc",2
"ang","scn",2
"ang","sco",5
"ang","sd",6
"ang","se",2
"ang","sg",2
"ang","sh",5
"ang","shi",1
"ang","shn",4
"ang","si",4
"ang","simple",5
"ang","sk",6
"ang","sl",6
"ang","smn",1
"ang","so",3
"ang","sq",3
"ang","sr",6
"ang","st",1
"ang","stq",1
"ang","su",2
"ang","sv",6
"ang","sw",1
"ang","szl",3
"ang","szy",1
"ang","ta",5
"ang","tay",1
"ang","te",6
"ang","tg",5
"ang","th",6
"ang","ti",1
"ang","tk",1
"ang","tl",4
"ang","tr",6
"ang","trv",1
"ang","tt",4
"ang","tw",1
"ang","tyv",1
"ang","udm",2
"ang","uk",6
"ang","ur",6
"ang","uz",5
"ang","vec",6
"ang","vep",1
"ang","vi",6
"ang","vls",1
"ang","vo",1
"ang","wa",1
"ang","war",2
"ang","wuu",2
"ang","xh",1
"ang","xmf",2
"ang","yi",6
"ang","yo",3
"ang","zh",6
"ang","zh-classical",3
"ang","zh-min-nan",2
"ang","zh-yue",6
"ang","zu",1
"ar","arc",1
"ar","ary",9
"ar","arz",37
"ar","as",28
"ar","ast",12
"ar","av",5
"ar","awa",1
"ar","az",35
"ar","azb",37
"ar","ba",30
"ar","bar",11
"ar","bat-smg",2
"ar","be",32
"ar","be-tarask",32
"ar","bg",42
"ar","bh",16
"ar","bjn",4
"ar","bn",45
"ar","bo",1
"ar","bpy",1
"ar","br",16
"ar","bs",23
"ar","bxr",3
"ar","ca",39
"ar","cbk-zam",2
"ar","cdo",2
"ar","ce",14
"ar","ceb",11
"ar","chr",4
"ar","ckb",40
"ar","co",2
"ar","cs",53
"ar","csb",3
"ar","cv",7
"ar","cy",13
"ar","da",34
"ar","dag",1
"ar","de",42
"ar","diq",7
"ar","dsb",4
"ar","dty",1
"ar","dv",2
"ar","el",40
"ar","eml",1
"ar","en",54
"ar","eo",37
"ar","es",46
"ar","et",16
"ar","eu",15
"ar","ext",1
"ar","fa",52
"ar","fi",37
"ar","fiu-vro",1
"ar","fo",6
"ar","fr",51
"ar","frr",1
"ar","fur",3
"ar","fy",5
"ar","ga",7
"ar","gan",4
"ar","gl",38
"ar","glk",6
"ar","gn",2
"ar","gom",3
"ar","gor",1
"ar","got",1
"ar","gu",18
"ar","gv",4
"ar","ha",2
"ar","hak",2
"ar","haw",3
"ar","he",36
"ar","hi",27
"ar","hr",34
"ar","hsb",9
"ar","ht",2
"ar","hu",40
"ar","hy",34
"ar","hyw",3
"ar","ia",15
"ar","id",47
"ar","ig",3
"ar","ilo",14
"ar","inh",6
"ar","io",3
"ar","is",20
"ar","it",44
"ar","iu",1
"ar","ja",48
"ar","jbo",2
"ar","jv",22
"ar","ka",27
"ar","kbd",1
"ar","kbp",1
"ar","kk",24
"ar","kl",3
"ar","km",12
"ar","kn",10
"ar","ko",46
"ar","koi",1
"ar","ks",8
"ar","ksh",6
"ar","ku",12
"ar","kw",2
"ar","ky",1
"ar","la",14
"ar","lad",6
"ar","lb",13
"ar","lbe",2
"ar","lez",1
"ar","lfn",1
"ar","lg",2
"ar","li",4
"ar","lij",3
"ar","lmo",4
"ar","ln",1
"ar","lo",3
"ar","lt",31
"ar","ltg",2
